"ARTIKELNR";"Haeufigkeit";"kum_anteil_SKU";"kum_anteil_OL";"ABC_Klasse";"vorherige_ABC_Klasse"
R901162655;16425;0.00894;0.82802;A;C
R902603224;12420;0.01788;1.45414;A;C
R902273899;10863;0.02682;2.00177;A;C
R902215658;10401;0.03576;2.52611;A;C
R909831662;10026;0.04470;3.03154;A;C
R902446558;9583;0.05364;3.51464;A;C
R902439437;9261;0.06258;3.98151;A;C
R902439616;9240;0.07152;4.44732;A;C
R902273758;9201;0.08046;4.91116;A;C
R902602698;8802;0.08940;5.35489;A;C
R909156745;8778;0.09834;5.79741;A;C
R902460159;8469;0.10728;6.22435;A;C
R913009673;8358;0.11622;6.64569;A;C
R902460787;7614;0.12516;7.02953;A;C
R913043034;7315;0.13410;7.39830;A;C
R902446571;7007;0.14304;7.75154;A;C
R913078779;6880;0.15198;8.09838;A;C
R902602699;6608;0.16092;8.43150;A;C
R902439442;6435;0.16986;8.75590;A;C
R902438137;6342;0.17880;9.07561;A;C
R902272142;6045;0.18774;9.38035;A;C
R901071225;5988;0.19668;9.68222;A;C
R902602890;5973;0.20562;9.98333;A;C
R913054564;5616;0.21456;10.26644;A;C
R902273628;5412;0.22350;10.53927;A;C
R902436846;5362;0.23244;10.80958;A;C
R902279710;5241;0.24138;11.07379;A;C
R902439436;5222;0.25032;11.33704;A;C
R901162844;5205;0.25926;11.59944;A;C
R902279922;5178;0.26820;11.86047;A;C
R902262308;5172;0.27714;12.12120;A;C
R909831179;4995;0.28608;12.37301;A;C
R902603914;4950;0.29502;12.62255;A;C
R909157194;4821;0.30396;12.86559;A;C
R902273757;4803;0.31290;13.10772;A;C
R902272141;4794;0.32184;13.34940;A;C
R900005866;4788;0.33078;13.59077;A;C
R909154399;4750;0.33972;13.83023;A;C
R909831663;4725;0.34866;14.06843;A;C
R902400563;4669;0.35760;14.30380;A;C
R909154398;4650;0.36654;14.53822;A;C
R902051329;4614;0.37548;14.77082;A;C
R902439646;4535;0.38442;14.99944;A;C
R902603443;4312;0.39336;15.21682;A;C
R902006258;4302;0.40230;15.43369;A;C
R902272140;4191;0.41124;15.64497;A;C
R902404260;4180;0.42018;15.85569;A;C
R902439439;4145;0.42912;16.06465;A;C
R913044774;4140;0.43806;16.27336;A;C
R902066600;4137;0.44700;16.48192;A;C
R913027002;4134;0.45594;16.69032;A;C
R902118513;4119;0.46488;16.89797;A;C
R909153104;4054;0.47382;17.10234;A;B
R909831348;3997;0.48276;17.30384;A;C
