"ARTIKELNR";"Haeufigkeit";"kum_anteil_SKU";"kum_anteil_OL";"ABC_Klasse_neu";"vorherige_ABC_Klasse";"Gini_Koeffizient"
R901162655;16425;0.007900;0.828000;A;C;0.82996800
R902603224;12420;0.015800;1.454100;A;C;0.82996800
R902273899;10863;0.023700;2.001700;A;C;0.82996800
R902215658;10401;0.031600;2.526000;A;C;0.82996800
R909831662;10026;0.039500;3.031400;A;C;0.82996800
R902446558;9583;0.047400;3.514400;A;C;0.82996800
R902439437;9261;0.055300;3.981200;A;C;0.82996800
R902439616;9240;0.063200;4.446900;A;C;0.82996800
R902273758;9201;0.071100;4.910700;A;C;0.82996800
R902602698;8802;0.079000;5.354400;A;C;0.82996800
R909156745;8778;0.086900;5.796900;A;C;0.82996800
R902460159;8469;0.094800;6.223800;A;C;0.82996800
R913009673;8358;0.102700;6.645100;A;C;0.82996800
R902460787;7614;0.110600;7.028900;A;C;0.82996800
R913043034;7315;0.118500;7.397600;A;C;0.82996800
R902446571;7007;0.126400;7.750800;A;C;0.82996800
R913078779;6880;0.134300;8.097600;A;C;0.82996800
R902602699;6608;0.142200;8.430700;A;C;0.82996800
R902439442;6435;0.150100;8.755000;A;C;0.82996800
R902438137;6342;0.158000;9.074700;A;C;0.82996800
R902272142;6045;0.165900;9.379400;A;C;0.82996800
R901071225;5988;0.173800;9.681200;A;C;0.82996800
R902602890;5973;0.181700;9.982300;A;C;0.82996800
R913054564;5616;0.189600;10.265400;A;C;0.82996800
R902273628;5412;0.197500;10.538200;A;C;0.82996800
R902436846;5362;0.205400;10.808500;A;C;0.82996800
R902279710;5241;0.213300;11.072700;A;C;0.82996800
R902439436;5222;0.221200;11.335900;A;C;0.82996800
R901162844;5205;0.229100;11.598200;A;C;0.82996800
R902279922;5178;0.237000;11.859200;A;C;0.82996800
R902262308;5172;0.244900;12.119900;A;C;0.82996800
R909831179;4995;0.252800;12.371700;A;C;0.82996800
R902603914;4950;0.260700;12.621200;A;C;0.82996800
R909157194;4821;0.268600;12.864200;A;C;0.82996800
R902273757;4803;0.276500;13.106300;A;C;0.82996800
R902272141;4794;0.284400;13.347900;A;C;0.82996800
R900005866;4788;0.292300;13.589200;A;C;0.82996800
R909154399;4750;0.300200;13.828600;A;C;0.82996800
R909831663;4725;0.308100;14.066700;A;C;0.82996800
R902400563;4669;0.316000;14.302000;A;C;0.82996800
R909154398;4650;0.323900;14.536400;A;C;0.82996800
R902051329;4614;0.331800;14.768900;A;C;0.82996800
R902439646;4535;0.339700;14.997500;A;C;0.82996800
R902603443;4312;0.347600;15.214800;A;C;0.82996800
R902006258;4302;0.355500;15.431600;A;C;0.82996800
R902272140;4191;0.363400;15.642800;A;C;0.82996800
R902404260;4180;0.371300;15.853500;A;C;0.82996800
R902439439;4145;0.379200;16.062400;A;C;0.82996800
R913044774;4140;0.387100;16.271100;A;C;0.82996800
R902066600;4137;0.395000;16.479600;A;C;0.82996800
R913027002;4134;0.402900;16.687900;A;C;0.82996800
R902118513;4119;0.410800;16.895500;A;C;0.82996800
R909153104;4054;0.418700;17.099800;A;B;0.82996800
R909831348;3997;0.426600;17.301200;A;C;0.82996800
R902004827;3924;0.434500;17.499000;A;A;0.82996800
R902299827;3820;0.442400;17.691500;A;C;0.82996800
R902007712;3783;0.450300;17.882200;A;C;0.82996800
R902448327;3780;0.458200;18.072700;A;C;0.82996800
R902004873;3770;0.466100;18.262700;A;B;0.82996800
R909156310;3762;0.474000;18.452300;A;C;0.82996800
R902013063;3759;0.481900;18.641700;A;C;0.82996800
R909446763;3717;0.489800;18.829000;A;C;0.82996800
R901462048;3708;0.497700;19.015900;A;C;0.82996800
R902252492;3708;0.505600;19.202800;A;C;0.82996800
R902205416;3705;0.513500;19.389500;A;C;0.82996800
R902252430;3699;0.521400;19.575900;A;C;0.82996800
R902127868;3693;0.529300;19.762000;A;C;0.82996800
R902273898;3693;0.537200;19.948100;A;C;0.82996800
R913010011;3690;0.545100;20.134100;A;C;0.82996800
R902602011;3672;0.553000;20.319200;A;C;0.82996800
R909154344;3669;0.560900;20.504100;A;C;0.82996800
R902066599;3648;0.568800;20.687900;A;C;0.82996800
R902041873;3642;0.576700;20.871400;A;C;0.82996800
R909152775;3633;0.584600;21.054500;A;C;0.82996800
R902210083;3627;0.592500;21.237300;A;C;0.82996800
R902400562;3619;0.600400;21.419700;A;C;0.82996800
R909431891;3615;0.608300;21.601900;A;C;0.82996800
R913007069;3552;0.616200;21.780900;A;C;0.82996800
R902252004;3538;0.624100;21.959200;A;X;0.82996800
R909154293;3492;0.632000;22.135200;A;C;0.82996800
R902291025;3470;0.639900;22.310100;A;C;0.82996800
R913064588;3456;0.647800;22.484300;A;C;0.82996800
R909154382;3453;0.655700;22.658300;A;C;0.82996800
R902105645;3426;0.663600;22.831000;A;C;0.82996800
R909414515;3412;0.671500;23.003000;A;B;0.82996800
R902602013;3390;0.679400;23.173800;A;C;0.82996800
R902118908;3378;0.687300;23.344000;A;C;0.82996800
R902061923;3378;0.695200;23.514200;A;C;0.82996800
R909830083;3354;0.703100;23.683200;A;C;0.82996800
R902191268;3339;0.711000;23.851500;A;C;0.82996800
R909422021;3306;0.718900;24.018100;A;C;0.82996800
