"UPALNR";"ARTIKELNR";"Reichweite_Tage"
"8362531309";"05308100ET0001";0
"8364587021";"02785560ET0001";0
"8364361263";"05848200ET0001";0
"8363641694";R902295160;0
"8364342217";"02915400ET0001";0
"8364752504";"03235200ET0001";0
"8364871120";"02588400ET0001";0
"8361889203";"03543000ET0001";0
"8364306257";"07734100ET0001";0
"8363891242";"01660400ET0001";0
"8362326226";"01931100ET0001";0
"8365570848";"01728910ET0001";0
"8362351396";R000000892;0
"8364192515";"05032410ET0001";0
"8363303035";"01056100ET0001";0
"1037789050";R902279092;0
"8365506052";"02931400ET0004";0
"8342690149";R910125504;0
"8365629874";"04775400ET0001";0
"8361751517";"08122000ET0001";0
"8087639366";R000000892;0
"8363670175";"08628100ET0001";0
"8365087438";"03402900ET0001";0
"8364030435";"03542600ET0001";0
"8324071447";R902113819;0
"8362336249";"04349410ET0001";0
"8364837669";"07497220ET0001";0
"8365304115";"02063500ET0002";0
"8364715400";"04738300ET0001";0
"1039090956";"05886900ET0001";0
"8364740440";"05051100ET0001";0
"8362391750";"00400500ET0001";0
"8362731174";"00102300ET0001";0
"8364884243";"01316530ET0001";0
"8363477316";"09394800ET0001";0
"8364771475";"07242800ET0001";0
"8275927688";R000000892;0
"8364752504";"08165070ET0001";0
"8362328237";"05416900ET0001";0
"8364372849";"09027900ET0001";0
"8365374613";"08743010ET0004";0
"8363440853";"05508600ET0001";0
"8364035010";"08836700ET0001";0
"8362222597";"08201140ET0001";0
"8106314007";R000000892;0
"8361775117";"04849700ET0001";0
"8365082976";"03781200ET0001";0
"8365067621";"08959600ET0001";0
"8362895890";R902249196;0
"8364342446";"04627130ET0001";0
"8362898198";"08929300ET0001";0
"8364343269";"04459500ET0001";0
"8363025487";"03420930ET0001";0
"1039091601";"07593500ET0001";0
"8365592741";"07767260ET0001";0
"1039091199";"00363400ET0001";0
"8365125598";"00267820ET0001";0
"8363355003";"05848900ET0001";0
"8364146495";"05933900ET0001";0
"8362529993";"03734900ET0001";0
"8365317689";"02599000ET0001";0
"8365144919";R902100179;0
"1039538601";"01306920ET0001";0
"8363348845";"04624520ET0001";0
"8364629660";"03261100ET0001";0
"8362391989";"01468280ET0001";0
"8364342798";"03726510ET0004";0
"8365629874";"05874600ET0001";0
"8143228282";R000000892;0
"8364873292";R902191416;0
"8364597815";"08198170ET0001";0
"8362457661";"03801500ET0004";0
"8363917287";"00572200ET0001";0
"8360580613";"04524000ET0001";0
"8363734976";"02661600ET0001";0
"8365326322";"04759310ET0004";0
"8364471443";"03315300ET0001";0
"8364752504";"02346000ET0001";0
"8363418234";"06935600ET0010";0
"8365027830";"08702900ET0001";0
"8364218383";"08743010ET0004";0
"8365572040";"03781100ET0001";0
"8363489791";"02364900ET0001";0
"8364030893";"02363400ET0001";0
"8361173654";"05674010ET0025";0
"8363660329";"07630710ET0001";0
"8362327766";"08983100ET0001";0
"8363732484";"03593000ET0050";0
"8361783181";"00827240ET0001";0
"8364142312";"03551200ET0001";0
"8365197229";"02318510ET0001";0
"8365064163";"05761000ET0001";0
"8260023296";R000000892;0
"8365058575";R902191416;0
"8362664649";"04534200ET0001";0
"8360258963";R902272359;0
"8363988102";"03540300ET0001";0
"8365002035";"09196300ET0001";0
"8354750503";"08356500ET0001";0
"1039097061";R902213233;0
"8365489669";"09347700ET0001";0
"8365493055";"08415310ET0001";0
"8361619855";"05174000ET0002";0
"8364361355";"03755800ET0001";0
"8365297127";"09198990ET0001";0
"8365360166";"05850900ET0001";0
"8364889521";"02251700ET0001";0
"8362328213";"01660800ET0001";0
"8363283221";R902117356;0
"8365623476";"000000000000124940";0
"8359655810";R902120458;0
"1039091311";"04571600ET0001";0
"8365051224";"08780200ET0001";0
"8364064799";"03263000ET0001";0
"8362784910";"03023400ET0001";0
"8364870673";"07588760ET0001";0
"8363304940";"01677700ET0001";0
"8365553834";"04921300ET0001";0
"8364359291";"04735200ET0001";0
"8364765801";R902249098;0
"8362173899";"07734100ET0001";0
"8365334532";"03100500ET0001";0
"8363495853";"08520110ET0001";0
"8363140302";"00389700ET0002";0
"8363874603";"00201500ET0001";0
"8365041775";"05349530ET0001";0
"8353311958";R902120458;0
"8362661716";"01700400ET0001";0
"8364024991";"02596500ET0001";0
"8363604095";"04802100ET0001";0
"8364503007";"05907620ET0001";0
"8365335959";"07986600ET0001";0
"1039552751";"03984500ET0001";0
"8365599924";"04835000ET0001";0
"8353312030";R902120458;0
"8364023000";"08393700ET0001";0
"8365557498";"00749900ET0001";0
"8365638562";"00232000ET0001";0
"8363874146";"04900500ET0001";0
"8365339278";"09106100ET0016";0
"8335040975";R000000892;0
"8362973802";"07610310ET0001";0
"1039091298";"01744410ET0001";0
"8365198141";R902003862;0
"8364556805";"00749900ET0001";0
"8338013976";R910943648;0
"8337949573";R910991665;0
"8363486486";R902279073;0
"8155452705";R000000892;0
"8360253210";R902285940;0
"8356187352";R902120458;0
"8364738188";"02472800ET0001";0
"8364181403";"02957510ET0001";0
"8358172356";R902127778;0
"8364138988";"09248670ET0025";0
"8363424563";"08091400ET0001";0
"8356864178";R000000892;0
"8364439955";"08954400ET0004";0
"8339450831";R910910644;0
"8343797038";R902404059;0
"8362895814";R902249196;0
