"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8350018133";"021000408";2025-08-28 00:00:00.000;2025-08-28 00:00:00.000;183;C;B
"8350193601";"021304904";2025-09-01 00:00:00.000;2025-09-01 00:00:00.000;179;C;C
"8361586379";"020204506";2025-09-01 00:00:00.000;2025-09-01 00:00:00.000;179;C;
"8350179025";"021004101";2025-09-01 00:00:00.000;2025-09-01 00:00:00.000;179;C;B
"8361826949";"021008202";2025-09-02 00:00:00.000;2025-09-02 00:00:00.000;178;B;
"8350290232";"021308204";2025-09-02 00:00:00.000;2025-09-02 00:00:00.000;178;C;C
"8350216119";"021307304";2025-09-01 00:00:00.000;2025-09-02 00:00:00.000;178;C;B
"8350333359";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333243";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8362021374";"020504908";2025-08-28 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8350333366";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333342";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333434";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333274";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350376714";"022407806";2025-09-03 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8350333397";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333427";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333373";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333410";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333304";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333380";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350377087";"022407701";2025-09-03 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8350333298";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333250";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333311";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333267";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8361889333";"020501504";2025-08-29 00:00:00.000;2025-09-03 00:00:00.000;177;A;
"8350376929";"022308209";2025-09-03 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8350333403";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350376585";"022308107";2025-09-03 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8350333229";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8361892548";"020403201";2025-08-28 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8361673079";"020500703";2025-08-28 00:00:00.000;2025-09-03 00:00:00.000;177;B;
"8350333465";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333281";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333328";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333335";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350396187";"021202102";2025-09-03 00:00:00.000;2025-09-03 00:00:00.000;177;C;B
"8361709198";"020300103";2025-08-28 00:00:00.000;2025-09-03 00:00:00.000;177;B;
"8361640798";"021403808";2025-08-28 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8350333458";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350333441";"020608401";2025-09-02 00:00:00.000;2025-09-03 00:00:00.000;177;C;A
"8350376486";"022308210";2025-09-03 00:00:00.000;2025-09-03 00:00:00.000;177;C;
"8362047558";"020901200";2025-08-28 00:00:00.000;2025-09-03 00:00:00.000;177;A;
"8350425764";"021203105";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350426341";"021204406";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350427737";"021201405";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427706";"021305705";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427720";"021202705";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350427720";"021202705";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
"8350425764";"021203105";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;C;A
"8350425771";"021303505";2025-09-03 00:00:00.000;2025-09-04 00:00:00.000;176;A;A
