"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8034905223";"020901103";2016-01-26 00:00:00.000;2016-04-15 00:00:00.000;3609;C;
"8034905223";"020901103";2016-01-26 00:00:00.000;2016-04-15 00:00:00.000;3609;A;
"8041622106";"021601005";2016-05-02 00:00:00.000;2017-08-15 00:00:00.000;3122;A;
"8041622106";"021601005";2016-05-02 00:00:00.000;2017-08-15 00:00:00.000;3122;C;
"8087746279";"020907103";2017-11-02 00:00:00.000;2017-11-02 00:00:00.000;3043;X;C
"8087746279";"020907103";2017-11-02 00:00:00.000;2017-11-02 00:00:00.000;3043;C;C
"8070578306";"020801604";2017-05-04 00:00:00.000;2018-08-09 00:00:00.000;2763;C;B
"8119538964";"020705608";2018-08-13 00:00:00.000;2018-08-15 00:00:00.000;2757;A;B
"8119539176";"020705608";2018-08-13 00:00:00.000;2018-08-15 00:00:00.000;2757;A;C
"8119701955";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;A;C
"8119701696";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;A;B
"8119701832";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;C;B
"8119539169";"020705608";2018-08-13 00:00:00.000;2018-08-15 00:00:00.000;2757;A;C
"8119701788";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;C;B
"8119539015";"020705608";2018-08-13 00:00:00.000;2018-08-15 00:00:00.000;2757;A;C
"8119701900";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;A;C
"8119701955";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;C;C
"8119538964";"020705608";2018-08-13 00:00:00.000;2018-08-15 00:00:00.000;2757;C;B
"8119701719";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;C;C
"8119701931";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;A;C
"8119539084";"020705608";2018-08-13 00:00:00.000;2018-08-15 00:00:00.000;2757;C;C
"8119701818";"021301605";2018-08-15 00:00:00.000;2018-08-15 00:00:00.000;2757;C;B
