"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8023404553";BLNM00807;2014-11-20 00:00:00.000;2015-01-27 00:00:00.000;4053;C;
"8129686730";BLNM00500;2018-11-14 00:00:00.000;2021-12-06 00:00:00.000;1548;C;A
"8073560568";BLNM00500;2017-06-02 00:00:00.000;2021-12-06 00:00:00.000;1548;C;A
"8191778579";BLNM00313;2020-09-18 00:00:00.000;2022-05-17 00:00:00.000;1386;C;
"8189187192";BLNM00133;2021-12-21 00:00:00.000;2023-11-09 00:00:00.000;845;C;
"8165721563";BLNM01113;2019-10-24 00:00:00.000;2024-02-07 00:00:00.000;755;C;
"8165721563";BLNM01113;2019-10-24 00:00:00.000;2024-02-07 00:00:00.000;755;X;
"8114860329";BLNM01123;2018-07-02 00:00:00.000;2024-02-07 00:00:00.000;755;C;
"8304511451";BLNM01026;2024-01-04 00:00:00.000;2024-07-05 00:00:00.000;606;C;
"8294437144";BLNM01026;2023-08-31 00:00:00.000;2024-07-05 00:00:00.000;606;C;
"8302884571";BLNM01026;2023-12-05 00:00:00.000;2024-07-05 00:00:00.000;606;C;
"8299170282";BLNM01026;2023-10-24 00:00:00.000;2024-07-05 00:00:00.000;606;C;
"8063450879";BLNM00802;2024-07-01 00:00:00.000;2024-07-08 00:00:00.000;603;C;
"8064458522";BLNM00809;2024-09-04 00:00:00.000;2024-09-11 00:00:00.000;538;;
"8181988742";BLNM00138;2021-09-29 00:00:00.000;2024-11-16 00:00:00.000;472;C;
"8066875624";BLNM00808;2025-01-31 00:00:00.000;2025-02-04 00:00:00.000;392;C;
"8067609235";BLNM00810;2025-03-18 00:00:00.000;2025-03-24 00:00:00.000;344;C;
"8068497275";BLNM00806;2025-05-09 00:00:00.000;2025-05-14 00:00:00.000;293;C;
"8361592912";BLNM00601;2025-07-01 00:00:00.000;2025-09-02 00:00:00.000;182;A;
"8361593056";BLNM00601;2025-03-26 00:00:00.000;2025-09-02 00:00:00.000;182;B;
"8361593483";BLNM00602;2025-07-30 00:00:00.000;2025-09-02 00:00:00.000;182;B;
"8361593063";BLNM00601;2025-06-10 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361592899";BLNM00601;2025-06-26 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593469";BLNM00602;2025-04-25 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593476";BLNM00602;2025-07-24 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593049";BLNM00601;2025-08-08 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361834739";BLNM00602;2025-06-12 00:00:00.000;2025-09-03 00:00:00.000;181;B;
"8361834692";BLNM00602;2025-07-28 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361834715";BLNM00602;2025-04-23 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593490";BLNM00602;2025-07-11 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593421";BLNM00602;2025-07-03 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593070";BLNM00906;2025-07-25 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593537";BLNM00602;2025-05-07 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593094";BLNM00602;2025-05-15 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593087";BLNM00906;2025-08-19 00:00:00.000;2025-09-03 00:00:00.000;181;B;
"8361592943";BLNM00601;2025-07-23 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593520";BLNM00602;2025-04-23 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361592974";BLNM00601;2025-07-08 00:00:00.000;2025-09-03 00:00:00.000;181;A;
"8361593018";BLNM00601;2025-08-12 00:00:00.000;2025-09-04 00:00:00.000;180;A;
"8361593032";BLNM00601;2024-12-20 00:00:00.000;2025-09-04 00:00:00.000;180;C;
"8361834708";BLNM00602;2025-06-24 00:00:00.000;2025-09-04 00:00:00.000;180;A;
"8361593506";BLNM00602;2025-08-21 00:00:00.000;2025-09-04 00:00:00.000;180;A;
"8361592936";BLNM00601;2025-05-09 00:00:00.000;2025-09-04 00:00:00.000;180;B;
"8361592875";BLNM00601;2025-07-01 00:00:00.000;2025-09-04 00:00:00.000;180;B;
"8361593544";BLNM00602;2025-08-11 00:00:00.000;2025-09-04 00:00:00.000;180;A;
"8361592868";BLNM01001;2025-08-25 00:00:00.000;2025-09-04 00:00:00.000;180;B;
"8361592998";BLNM00601;2025-08-21 00:00:00.000;2025-09-05 00:00:00.000;179;A;
"8361592981";BLNM00601;2025-05-30 00:00:00.000;2025-09-05 00:00:00.000;179;C;
"8361593452";BLNM00602;2025-07-07 00:00:00.000;2025-09-05 00:00:00.000;179;A;
"8361592882";BLNM00601;2025-07-25 00:00:00.000;2025-09-05 00:00:00.000;179;C;
"8360452378";BLNM01020;2025-08-14 00:00:00.000;2025-09-05 00:00:00.000;179;C;
"8361593513";BLNM00602;2025-07-07 00:00:00.000;2025-09-08 00:00:00.000;176;A;
"8361834722";BLNM00602;2025-07-04 00:00:00.000;2025-09-08 00:00:00.000;176;B;
"8361834609";BLNM01007;2025-08-21 00:00:00.000;2025-09-08 00:00:00.000;176;A;
"8361834685";BLNM00602;2024-10-22 00:00:00.000;2025-09-09 00:00:00.000;175;B;
"8070531653";BLNM00136;2025-06-12 00:00:00.000;2025-09-10 00:00:00.000;174;C;
"8070531660";BLNM00136;2024-11-15 00:00:00.000;2025-09-11 00:00:00.000;173;C;
"8019678760";BLNM00808;2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;173;;
"8070531646";BLNM00136;2025-08-27 00:00:00.000;2025-09-11 00:00:00.000;173;C;
"8013326858";BLNM00804;2025-09-15 00:00:00.000;2025-09-16 00:00:00.000;168;C;
"8070649327";BLNM00136;2023-08-02 00:00:00.000;2025-09-17 00:00:00.000;167;C;
"8361593445";BLNM00602;2025-05-26 00:00:00.000;2025-09-18 00:00:00.000;166;A;
"8361593025";BLNM00601;2025-06-12 00:00:00.000;2025-09-18 00:00:00.000;166;A;
"8364031890";BLNM00904;2025-08-01 00:00:00.000;2025-09-19 00:00:00.000;165;A;
"8364000100";BLNM00905;2025-08-25 00:00:00.000;2025-09-19 00:00:00.000;165;A;
"8364031838";BLNM00923;2025-07-28 00:00:00.000;2025-09-19 00:00:00.000;165;A;
"8364031883";BLNM00904;2025-06-13 00:00:00.000;2025-09-19 00:00:00.000;165;A;
"8364000124";BLNM00905;2025-08-27 00:00:00.000;2025-09-19 00:00:00.000;165;B;
"8364031821";BLNM00923;2025-09-12 00:00:00.000;2025-09-22 00:00:00.000;162;A;
"8013409797";BLNM00805;2025-09-25 00:00:00.000;2025-09-25 00:00:00.000;159;C;
"8013410601";BLNM00803;2025-09-25 00:00:00.000;2025-09-29 00:00:00.000;155;C;
"8364000117";BLNM00905;2025-08-20 00:00:00.000;2025-09-30 00:00:00.000;154;C;
"8033733100";BLNM00802;2025-06-30 00:00:00.000;2025-10-06 00:00:00.000;148;C;
"8019929473";BLNM00806;2025-09-29 00:00:00.000;2025-10-08 00:00:00.000;146;;
