"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8361593506";BLNM00602;2025-08-21 00:00:00.000;2025-09-04 00:00:00.000;169;A;
"8361592868";BLNM01001;2025-08-25 00:00:00.000;2025-09-04 00:00:00.000;169;B;
"8361592998";BLNM00601;2025-08-21 00:00:00.000;2025-09-05 00:00:00.000;168;A;
"8361834609";BLNM01007;2025-08-21 00:00:00.000;2025-09-08 00:00:00.000;165;A;
"8019678760";BLNM00808;2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;162;;
"8070531646";BLNM00136;2025-08-27 00:00:00.000;2025-09-11 00:00:00.000;162;C;
"8013326858";BLNM00804;2025-09-15 00:00:00.000;2025-09-16 00:00:00.000;157;C;
"8364000049";BLNM00903;2025-08-21 00:00:00.000;2025-09-19 00:00:00.000;154;A;
"8364000100";BLNM00905;2025-08-25 00:00:00.000;2025-09-19 00:00:00.000;154;A;
"8364000124";BLNM00905;2025-08-27 00:00:00.000;2025-09-19 00:00:00.000;154;B;
"8364000063";BLNM00901;2025-09-01 00:00:00.000;2025-09-19 00:00:00.000;154;A;
"8364031821";BLNM00923;2025-09-12 00:00:00.000;2025-09-22 00:00:00.000;151;A;
"8013409797";BLNM00805;2025-09-25 00:00:00.000;2025-09-25 00:00:00.000;148;C;
"8013410601";BLNM00803;2025-09-25 00:00:00.000;2025-09-29 00:00:00.000;144;C;
"8364000025";BLNM00903;2025-09-12 00:00:00.000;2025-09-30 00:00:00.000;143;B;
"8019929473";BLNM00806;2025-09-29 00:00:00.000;2025-10-08 00:00:00.000;135;;
"8335028881";BLNM01022;2025-09-18 00:00:00.000;2025-10-15 00:00:00.000;128;A;
"8050331358";BLNM00130;2025-09-26 00:00:00.000;2025-10-15 00:00:00.000;128;C;
"8335028881";BLNM01022;2025-09-18 00:00:00.000;2025-10-15 00:00:00.000;128;C;
"8335028904";BLNM01022;2025-09-18 00:00:00.000;2025-10-16 00:00:00.000;127;A;
"8335028904";BLNM01022;2025-09-18 00:00:00.000;2025-10-16 00:00:00.000;127;C;
"8013599351";BLNM00802;2025-10-16 00:00:00.000;2025-10-23 00:00:00.000;120;C;
"8354860073";BLNM01002;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8354860042";BLNM01005;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8338527817";BLNM00910;2025-10-13 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8354860165";BLNM01003;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;B
"8350611679";BLNM01027;2025-09-05 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8350612027";BLNM00911;2025-09-05 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8354860066";BLNM01005;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8350612010";BLNM00911;2025-09-05 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8354860028";BLNM01005;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8354860059";BLNM01005;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;
"8354860141";BLNM01003;2025-10-23 00:00:00.000;2025-10-28 00:00:00.000;115;C;B
"8020167994";BLNM00803;2025-11-03 00:00:00.000;2025-11-24 00:00:00.000;88;C;
"8015145105";BLNM00136;2025-11-21 00:00:00.000;2025-11-26 00:00:00.000;86;;
"8358732734";BLNM00908;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8358732703";BLNM00909;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8358732741";BLNM00908;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8358732710";BLNM00909;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8358732727";BLNM00908;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8358732413";BLNM01008;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;
"8358732567";BLNM01008;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8358732697";BLNM00909;2025-12-03 00:00:00.000;2025-12-04 00:00:00.000;78;C;B
"8013838559";BLNM00806;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8013838597";BLNM00806;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8013838566";BLNM00804;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8013838573";BLNM00806;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8013838542";BLNM00807;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8013838603";BLNM00807;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8013838580";BLNM00804;2025-11-13 00:00:00.000;2025-12-08 00:00:00.000;74;C;
"8034249624";BLNM00813;2025-10-08 00:00:00.000;2025-12-10 00:00:00.000;72;C;
"8034248498";BLNM00812;2025-11-07 00:00:00.000;2025-12-10 00:00:00.000;72;C;
"8034249600";BLNM00813;2025-10-21 00:00:00.000;2025-12-10 00:00:00.000;72;C;
"8356582157";BLNM00134;2025-11-11 00:00:00.000;2025-12-11 00:00:00.000;71;C;B
"8353904549";BLNM00134;2025-10-14 00:00:00.000;2025-12-11 00:00:00.000;71;C;A
"8353904525";BLNM00134;2025-10-14 00:00:00.000;2025-12-11 00:00:00.000;71;C;A
