"REGAL";"Fach";"Anzahl_Fahrpositionen";"A";"B";"C"
"02";1;4;2;2;0
"02";2;7;4;2;1
"02";3;25;13;12;0
"02";4;45;33;11;1
"02";5;14;8;5;1
"02";6;9;5;4;0
"02";7;32;20;12;0
"02";8;20;12;8;0
"02";9;50;38;12;0
"02";10;21;15;6;0
"02";11;51;35;15;1
"02";12;35;23;10;2
"02";13;36;21;14;1
"02";14;15;11;3;1
"02";15;60;36;23;1
"02";16;32;18;14;0
"02";17;10;7;2;1
"02";18;31;20;11;0
"02";19;19;12;7;0
"02";20;23;16;7;0
"02";21;10;5;5;0
"02";22;30;18;11;1
"02";23;12;8;4;0
"02";24;31;17;14;0
"02";25;6;3;3;0
"02";26;30;21;9;0
"02";27;28;18;10;0
"02";28;10;4;5;1
"02";29;25;16;9;0
"02";30;22;17;4;1
"02";31;16;11;5;0
"02";32;6;2;4;0
"02";33;19;15;4;0
"02";34;5;2;3;0
"02";35;1;1;0;0
"02";36;16;11;5;0
"02";37;7;5;2;0
"02";38;15;8;7;0
"02";39;10;6;3;1
"02";40;4;0;3;1
"02";41;9;5;2;1
"02";42;10;6;4;0
"02";43;7;4;3;0
"02";44;8;5;3;0
"02";45;1;0;1;0
"02";46;7;6;1;0
"02";47;9;7;2;0
"02";48;9;6;3;0
"02";49;5;4;1;0
"02";50;5;4;1;0
"02";51;1;0;1;0
"02";52;8;6;2;0
"02";53;1;1;0;0
"02";54;2;2;0;0
"02";55;2;2;0;0
"02";56;0;0;0;0
"02";57;5;4;1;0
"02";58;3;1;2;0
"02";59;0;0;0;0
"02";60;1;1;0;0
"02";61;4;3;1;0
"02";62;2;1;1;0
"02";63;5;3;2;0
"02";64;3;3;0;0
"02";65;4;3;0;1
"02";66;2;2;0;0
"02";67;3;2;1;0
"02";68;3;3;0;0
"02";69;2;1;0;1
"02";70;3;0;3;0
"02";71;2;1;1;0
"02";72;4;2;2;0
"02";73;1;0;1;0
"02";74;3;1;1;1
"02";75;2;1;1;0
"02";76;5;3;1;1
"02";77;2;1;1;0
"02";78;3;3;0;0
"02";79;5;3;2;0
"02";80;3;1;2;0
"02";81;1;0;0;0
"02";82;4;2;2;0
"02";83;2;2;0;0
"02";84;4;2;2;0
"03";1;22;11;10;1
"03";2;26;17;8;1
"03";3;51;38;13;0
"03";4;57;39;18;0
"03";5;38;24;11;2
"03";6;34;22;12;0
"03";7;21;14;6;1
"03";8;20;12;8;0
"03";9;23;16;7;0
"03";10;0;0;0;0
"03";11;34;21;13;0
"03";12;44;26;16;2
"03";13;14;7;7;0
"03";14;15;7;8;0
"03";15;56;31;23;2
"03";16;33;21;11;0
"03";17;31;20;11;0
"03";18;31;22;9;0
"03";19;23;13;10;0
"03";20;45;27;18;0
"03";21;45;29;15;1
"03";22;0;0;0;0
"03";23;0;0;0;0
"03";24;33;20;12;1
"03";25;40;30;10;0
"03";26;36;23;13;0
"03";27;22;10;11;1
"03";28;36;22;12;2
"03";29;20;12;8;0
"03";30;33;22;11;0
"03";31;39;28;10;1
"03";32;35;26;9;0
"03";33;36;21;15;0
"03";34;43;31;12;0
"03";35;0;0;0;0
"03";36;29;20;7;2
"03";37;25;8;14;3
"03";38;33;22;10;1
"03";39;39;23;15;1
"03";40;21;12;8;0
"03";41;20;12;8;0
"03";42;31;26;5;0
"03";43;8;4;4;0
"03";44;10;6;3;1
"03";45;3;1;2;0
"03";46;14;12;2;0
"03";47;0;0;0;0
"03";48;0;0;0;0
"03";49;15;6;9;0
"03";50;33;19;14;0
"03";51;38;24;13;0
"03";52;28;17;9;2
"03";53;0;0;0;0
"03";54;0;0;0;0
"03";55;16;10;6;0
"03";56;20;18;2;0
"03";57;41;26;14;0
"03";58;43;33;10;0
"03";59;30;18;9;2
"03";60;0;0;0;0
"03";61;0;0;0;0
"03";62;38;21;17;0
"03";63;38;23;14;1
"03";64;28;22;5;0
"03";65;43;23;20;0
"03";66;30;19;11;0
"03";67;13;8;5;0
"03";68;17;11;6;0
"03";69;37;26;10;1
"03";70;23;15;8;0
"03";71;11;8;3;0
"03";72;0;0;0;0
"03";73;0;0;0;0
"03";74;24;16;6;2
"03";75;26;21;4;1
"03";76;9;6;2;1
"03";77;16;13;3;0
"03";78;23;15;8;0
"03";79;7;4;3;0
"03";80;15;11;3;1
"03";81;21;11;9;1
"03";82;10;3;7;0
"03";83;15;11;2;1
"03";84;14;10;3;1
"04";1;15;9;6;0
"04";2;19;14;5;0
"04";3;68;50;18;0
"04";4;41;23;18;0
"04";5;36;28;8;0
"04";6;10;7;2;1
"04";7;24;14;10;0
"04";8;29;18;10;1
"04";9;26;18;8;0
"04";10;25;16;9;0
"04";11;39;28;10;1
"04";12;35;18;15;2
"04";13;7;1;4;2
"04";14;38;19;17;1
"04";15;33;25;8;0
"04";16;28;17;9;2
"04";17;11;6;5;0
"04";18;19;14;5;0
"04";19;26;15;10;1
"04";20;49;33;16;0
"04";21;28;12;15;1
"04";22;43;35;8;0
"04";23;50;25;24;1
"04";24;33;22;11;0
"04";25;30;17;12;1
"04";26;42;26;15;1
"04";27;29;17;12;0
"04";28;44;35;8;0
"04";29;24;12;11;1
"04";30;45;25;18;2
"04";31;55;35;18;1
"04";32;49;26;20;3
"04";33;31;20;9;2
"04";34;41;27;14;0
"04";35;49;31;18;0
"04";36;56;44;12;0
"04";37;34;23;10;1
"04";38;60;38;22;0
"04";39;31;16;14;1
"04";40;22;17;4;1
"04";41;41;22;17;2
"04";42;17;9;7;1
"04";43;7;7;0;0
"04";44;8;3;5;0
"04";45;6;4;2;0
"04";46;15;10;5;0
"04";47;24;13;10;1
"04";48;28;16;11;1
"04";49;31;15;15;1
"04";50;23;15;8;0
"04";51;48;29;18;1
"04";52;56;43;13;0
"04";53;36;22;14;0
"04";54;52;31;21;0
"04";55;47;40;6;1
"04";56;43;27;16;0
"04";57;31;18;13;0
"04";58;44;22;19;3
"04";59;36;22;14;0
"04";60;32;21;10;1
"04";61;31;15;15;1
"04";62;51;35;15;0
"04";63;32;23;9;0
"04";64;24;13;10;1
"04";65;50;33;16;1
"04";66;44;33;11;0
"04";67;35;20;15;0
"04";68;34;17;16;1
"04";69;18;10;8;0
"04";70;29;21;6;2
"04";71;7;5;2;0
"04";72;14;10;4;0
"04";73;24;14;10;0
"04";74;33;19;13;1
"04";75;17;10;7;0
"04";76;37;19;16;1
"04";77;22;17;4;1
"04";78;31;19;12;0
"04";79;19;16;2;1
"04";80;24;10;13;1
"04";81;17;9;8;0
"04";82;35;26;9;0
"04";83;19;13;5;1
"04";84;10;6;4;0
"05";1;16;11;4;1
"05";2;27;17;9;1
"05";3;30;21;7;1
"05";4;33;19;13;1
"05";5;11;6;5;0
"05";6;21;10;11;0
"05";7;26;18;8;0
"05";8;8;5;3;0
"05";9;16;7;8;1
"05";10;31;23;7;0
"05";11;23;15;7;1
"05";12;39;22;15;1
"05";13;34;19;12;3
"05";14;30;23;7;0
"05";15;14;8;6;0
"05";16;35;21;11;3
"05";17;10;8;1;0
"05";18;30;15;14;1
"05";19;14;9;5;0
"05";20;16;8;8;0
"05";21;17;8;8;1
"05";22;31;17;13;0
"05";23;30;22;8;0
"05";24;9;6;2;1
"05";25;24;21;3;0
"05";26;38;26;12;0
"05";27;41;27;11;1
"05";28;37;20;16;1
"05";29;26;14;10;2
"05";30;38;24;13;0
"05";31;25;15;10;0
"05";32;36;25;10;0
"05";33;19;10;8;0
"05";34;27;11;16;0
"05";35;32;16;14;2
"05";36;14;4;8;0
"05";37;30;17;13;0
"05";38;23;6;15;2
"05";39;22;14;8;0
"05";40;35;18;17;0
"05";41;32;23;6;3
"05";42;30;12;15;3
"05";43;3;1;2;0
"05";44;4;1;3;0
"05";45;21;14;7;0
"05";46;14;11;2;1
"05";47;45;26;17;2
"05";48;32;19;12;1
"05";49;30;18;11;1
"05";50;23;17;6;0
"05";51;45;27;17;0
"05";52;16;6;10;0
